ID do Cliente,Idade,Sexo,Item Vendido,Categoria,Valor da Venda (USD),Localizacao,Tamanho,Cor,Temporada,Avaliacao,Assinatura,Envio,Desconto,Codigo Promocional,Vendas Anteriores,Forma de Pagamento,Frequencia de Vendas
27,38,Homem,Joias,Acessorios,20,Nevada,M,Vermelho,Primavera,36,Sim,Next Day Air,Sim,Sim,13,Em dinheiro,Anualmente
28,56,Homem,Shorts,Roupas,56,Kentucky,G,Ciano,Verao,50,Sim,Next Day Air,Sim,Sim,7,Cartao de Debito,A cada 3 meses
29,54,Homem,Bolsa,Acessorios,94,North Carolina,M,Cinza,Outono,44,Sim,Free Shipping,Sim,Sim,41,Cartao de Debito,A cada 3 meses
30,31,Homem,Vestido,Roupas,48,Wyoming,P,Preto,Outono,41,Sim,Retirado na loja,Sim,Sim,14,PIX,Semanalmente
31,57,Homem,Joias,Acessorios,31,North Carolina,G,Preto,Inverno,47,Sim,Standard,Sim,Sim,16,Transferencia bancaria,Mensalmente
32,33,Homem,Vestido,Roupas,79,West Virginia,G,Marrom,Inverno,47,Sim,Retirado na loja,Sim,Sim,45,PIX,Mensalmente
33,36,Homem,Jaqueta,Agasalhos,67,Kansas,M,Prateado,Verao,49,Sim,Free Shipping,Sim,Sim,37,Transferencia bancaria,Anualmente
34,54,Homem,Calcas,Roupas,38,Colorado,G,Verde,Verao,33,Sim,Retirado na loja,Sim,Sim,45,PIX,Trimestralmente
35,36,Homem,T-shirt,Roupas,91,North Dakota,G,Violeta,Primavera,46,Sim,Frete em 2 dias,Sim,Sim,38,Cartao de Debito,Trimestralmente
36,54,Homem,Blusa,Roupas,33,Massachusetts,M,Ciano,Verao,40,Sim,Frete em 2 dias,Sim,Sim,48,Transferencia bancaria,Quinzenalmente
37,35,Homem,T-shirt,Roupas,69,Illinois,M,Marrom,Inverno,46,Sim,Free Shipping,Sim,Sim,44,Em dinheiro,Quinzenalmente
38,35,Homem,Jeans,Roupas,45,Indiana,P,Ciano,Verao,28,Sim,Retirado na loja,Sim,Sim,10,Cartao de Debito,Semanalmente
39,29,Homem,Vestido,Roupas,37,Florida,M,Vermelho,Inverno,37,Sim,Frete em 2 dias,Sim,Sim,44,Cartao de Debito,A cada 3 meses
40,70,Homem,Calcas,Roupas,60,Arizona,P,Turquesa,Verao,42,Sim,Expresso,Sim,Sim,18,Transferencia bancaria,Mensalmente
41,69,Homem,Bolsa,Acessorios,76,Louisiana,G,Bege,Inverno,46,Sim,Next Day Air,Sim,Sim,31,PayPal,Trimestralmente
42,67,Homem,Cachecol,Acessorios,39,Alaska,M,Laranja,Primavera,45,Sim,Standard,Sim,Sim,40,Em dinheiro,Anualmente
43,20,Homem,Casaco,Agasalhos,100,Tennessee,M,Bege,Primavera,41,Sim,Free Shipping,Sim,Sim,15,Transferencia bancaria,Anualmente
44,25,Homem,Cachecol,Acessorios,69,Ohio,G,Lavanda,Outono,37,Sim,Retirado na loja,Sim,Sim,19,PayPal,Quinzenalmente
45,39,Homem,Chapeu,Acessorios,53,Kentucky,P,Prateado,Verao,46,Sim,Free Shipping,Sim,Sim,45,Transferencia bancaria,Semanalmente
46,50,Homem,Socks,Roupas,21,Tennessee,XG,Indigo,Outono,29,Sim,Frete em 2 dias,Sim,Sim,25,PIX,Anualmente
47,57,Homem,Shirt,Roupas,43,California,G,Branco,Verao,29,Sim,Retirado na loja,Sim,Sim,45,PIX,Trimestralmente
48,55,Homem,Joias,Acessorios,54,Montana,M,Carvao,Inverno,45,Sim,Free Shipping,Sim,Sim,36,Cartao de Debito,Semanalmente
49,42,Homem,Shirt,Roupas,55,Nevada,M,Laranja,Verao,27,Sim,Retirado na loja,Sim,Sim,38,Cartao de Debito,Mensalmente
50,68,Homem,Moletom,Roupas,30,New Jersey,P,Indigo,Primavera,46,Sim,Next Day Air,Sim,Sim,34,Transferencia bancaria,Quinzenalmente
51,49,Homem,Blusa,Roupas,28,Maryland,M,Vermelho,Primavera,37,Sim,Retirado na loja,Sim,Sim,39,Em dinheiro,Quinzenalmente
52,59,Homem,Saia,Roupas,59,Vermont,XG,Cinza,Inverno,47,Sim,Frete em 2 dias,Sim,Sim,7,PayPal,Trimestralmente
53,42,Homem,T-shirt,Roupas,20,Alaska,M,Verde,Verao,26,Sim,Free Shipping,Sim,Sim,26,Cartao de Credito,Semanalmente
54,29,Homem,Saia,Roupas,24,Mississippi,P,Pessego,Inverno,39,Sim,Next Day Air,Sim,Sim,35,Cartao de Debito,Semanalmente
55,47,Homem,Casaco,Agasalhos,94,New Mexico,M,Marrom,Verao,42,Sim,Next Day Air,Sim,Sim,35,Transferencia bancaria,Quinzenalmente
56,40,Homem,Jaqueta,Agasalhos,28,South Carolina,M,Lavanda,Inverno,30,Sim,Frete em 2 dias,Sim,Sim,49,PIX,Anualmente
57,41,Homem,Mochila,Acessorios,73,Mississippi,XG,Marrom,Verao,47,Sim,Retirado na loja,Sim,Sim,46,PayPal,Semanalmente
58,21,Homem,Casaco,Agasalhos,64,West Virginia,M,Branco,Verao,44,Sim,Retirado na loja,Sim,Sim,17,PayPal,Quinzenalmente
59,69,Homem,Moletom,Roupas,54,Missouri,M,Carvao,Verao,42,Sim,Free Shipping,Sim,Sim,29,Cartao de Credito,Mensalmente
60,63,Homem,Cinto,Acessorios,79,Louisiana,G,Amarelo,Primavera,46,Sim,Standard,Sim,Sim,4,Cartao de Debito,Semanalmente
61,50,Homem,Sueter,Roupas,37,Idaho,G,Marrom,Verao,40,Sim,Expresso,Sim,Sim,17,Cartao de Credito,Semanalmente
62,55,Homem,Cachecol,Acessorios,68,Texas,M,Laranja,Inverno,47,Sim,Retirado na loja,Sim,Sim,21,Transferencia bancaria,A cada 3 meses
63,30,Homem,Tenis,Calcados,21,Mississippi,P,Magenta,Primavera,38,Sim,Free Shipping,Sim,Sim,31,Cartao de Credito,Quinzenalmente
64,33,Homem,Oculos de sol,Acessorios,79,Arizona,G,Lavanda,Inverno,27,Sim,Frete em 2 dias,Sim,Sim,43,Cartao de Credito,Semanalmente
65,65,Homem,Botas,Calcados,83,Alabama,P,Verde,Outono,48,Sim,Standard,Sim,Sim,18,PayPal,Quinzenalmente
66,65,Homem,Mochila,Acessorios,36,New Jersey,M,Roxo,Primavera,48,Sim,Frete em 2 dias,Sim,Sim,44,Cartao de Credito,A cada 3 meses
67,31,Homem,Blusa,Roupas,94,Pennsylvania,P,Magenta,Inverno,47,Sim,Frete em 2 dias,Sim,Sim,3,Transferencia bancaria,A cada 3 meses
68,45,Homem,Casaco,Agasalhos,33,Connecticut,G,Cinza,Inverno,44,Sim,Retirado na loja,Sim,Sim,49,PayPal,Mensalmente
69,57,Homem,Bolsa,Acessorios,46,Utah,G,Prateado,Verao,39,Sim,Next Day Air,Sim,Sim,21,Cartao de Credito,A cada 3 meses
70,48,Homem,Cinto,Acessorios,70,Tennessee,P,Ciano,Verao,44,Sim,Expresso,Sim,Sim,5,Cartao de Credito,Semanalmente
71,22,Homem,Cinto,Acessorios,29,Alabama,M,Magenta,Outono,42,Sim,Expresso,Sim,Sim,32,Cartao de Credito,A cada 3 meses
72,36,Homem,Vestido,Roupas,48,Virginia,G,Gold,Verao,29,Sim,Expresso,Sim,Sim,34,Cartao de Debito,Anualmente
73,18,Homem,Vestido,Roupas,26,Georgia,M,Oliva,Inverno,29,Sim,Retirado na loja,Sim,Sim,21,Cartao de Debito,A cada 3 meses
74,48,Homem,Calcas,Roupas,85,Hawaii,M,Verde-azulado,Primavera,27,Sim,Free Shipping,Sim,Sim,43,Cartao de Debito,Quinzenalmente
75,49,Homem,Gloves,Acessorios,58,Indiana,G,Violeta,Primavera,45,Sim,Expresso,Sim,Sim,3,PayPal,Mensalmente
76,64,Homem,Cachecol,Acessorios,85,Utah,M,Azul,Verao,27,Sim,Free Shipping,Sim,Sim,21,Cartao de Debito,Anualmente
77,50,Homem,Chapeu,Acessorios,43,Delaware,P,Verde-azulado,Verao,42,Sim,Free Shipping,Sim,Sim,32,Transferencia bancaria,Mensalmente
78,22,Homem,Vestido,Roupas,53,Delaware,G,Gold,Verao,33,Sim,Next Day Air,Sim,Sim,36,Cartao de Debito,Quinzenalmente
79,50,Homem,Saia,Roupas,91,Nebraska,M,Marrom,Primavera,47,Sim,Free Shipping,Sim,Sim,50,PIX,Quinzenalmente
80,38,Homem,Jaqueta,Agasalhos,96,Iowa,M,Oliva,Inverno,26,Sim,Frete em 2 dias,Sim,Sim,43,Transferencia bancaria,A cada 3 meses
81,19,Homem,Sandalhas,Calcados,72,New York,XG,Azul,Verao,33,Sim,Retirado na loja,Sim,Sim,24,Cartao de Credito,A cada 3 meses
82,67,Homem,Sapatos,Calcados,96,Virginia,G,Marrom,Verao,26,Sim,Expresso,Sim,Sim,36,PayPal,A cada 3 meses
83,19,Homem,Calcas,Roupas,28,Georgia,P,Oliva,Primavera,40,Sim,Frete em 2 dias,Sim,Sim,21,Transferencia bancaria,A cada 3 meses
84,36,Homem,Vestido,Roupas,40,Texas,M,Turquesa,Verao,41,Sim,Standard,Sim,Sim,34,Cartao de Debito,Semanalmente
85,52,Homem,Casaco,Agasalhos,32,Arizona,P,Pessego,Primavera,44,Sim,Standard,Sim,Sim,42,Em dinheiro,A cada 3 meses
86,53,Homem,Oculos de sol,Acessorios,95,New Mexico,M,Carvao,Inverno,45,Sim,Next Day Air,Sim,Sim,2,Cartao de Credito,Quinzenalmente
87,24,Homem,Moletom,Roupas,41,Nevada,G,Rosa,Primavera,37,Sim,Frete em 2 dias,Sim,Sim,47,PIX,Quinzenalmente
88,52,Homem,Sapatos,Calcados,53,Ohio,M,Verde,Outono,37,Sim,Frete em 2 dias,Sim,Sim,44,Cartao de Debito,Quinzenalmente
89,33,Homem,T-shirt,Roupas,47,Wyoming,M,Laranja,Outono,35,Sim,Free Shipping,Sim,Sim,35,Cartao de Credito,Mensalmente
90,47,Homem,Jaqueta,Agasalhos,83,California,XG,Rosa,Outono,36,Sim,Next Day Air,Sim,Sim,15,Transferencia bancaria,Trimestralmente
91,25,Homem,Chapeu,Acessorios,48,South Carolina,G,Violeta,Verao,29,Sim,Expresso,Sim,Sim,29,PIX,Mensalmente
92,44,Homem,Cachecol,Acessorios,99,South Carolina,P,Verde,Inverno,46,Sim,Standard,Sim,Sim,18,PayPal,A cada 3 meses
93,61,Homem,Jaqueta,Agasalhos,87,Texas,M,Oliva,Inverno,44,Sim,Frete em 2 dias,Sim,Sim,13,Em dinheiro,A cada 3 meses
94,37,Homem,Sueter,Roupas,62,Florida,M,Roxo,Outono,45,Sim,Standard,Sim,Sim,46,PayPal,Semanalmente
95,58,Homem,Saia,Roupas,76,Nevada,P,Prateado,Primavera,46,Sim,Free Shipping,Sim,Sim,28,Transferencia bancaria,Semanalmente
96,37,Homem,Tenis,Calcados,100,Missouri,G,Rosa,Outono,38,Sim,Free Shipping,Sim,Sim,48,PayPal,Mensalmente
97,32,Homem,Gloves,Acessorios,73,Delaware,P,Gold,Primavera,36,Sim,Expresso,Sim,Sim,43,PIX,A cada 3 meses
98,21,Homem,Sapatos,Calcados,92,Virginia,M,Verde-azulado,Inverno,48,Sim,Retirado na loja,Sim,Sim,37,PayPal,Anualmente
99,20,Homem,Jeans,Roupas,67,New York,XG,Verde-azulado,Primavera,26,Sim,Next Day Air,Sim,Sim,20,Em dinheiro,Anualmente
100,26,Homem,Moletom,Roupas,40,Missouri,XG,Indigo,Verao,37,Sim,Expresso,Sim,Sim,33,Em dinheiro,Trimestralmente
101,62,Homem,Oculos de sol,Acessorios,98,South Dakota,M,Marrom,Outono,27,Sim,Expresso,Sim,Sim,31,PayPal,Quinzenalmente
102,27,Homem,Casaco,Agasalhos,85,North Dakota,XG,Branco,Primavera,46,Sim,Expresso,Sim,Sim,50,PIX,Quinzenalmente
103,51,Homem,Socks,Roupas,67,Oklahoma,G,Violeta,Inverno,48,Sim,Next Day Air,Sim,Sim,35,Cartao de Credito,Trimestralmente
104,54,Homem,Botas,Calcados,89,West Virginia,G,Vermelho,Inverno,40,Sim,Next Day Air,Sim,Sim,22,Cartao de Debito,Quinzenalmente
105,55,Homem,Oculos de sol,Acessorios,24,New Hampshire,G,Rosa,Primavera,44,Sim,Frete em 2 dias,Sim,Sim,1,Transferencia bancaria,Mensalmente
106,69,Homem,Mochila,Acessorios,96,New York,M,Carvao,Outono,36,Sim,Next Day Air,Sim,Sim,4,Transferencia bancaria,Anualmente
107,64,Homem,Jaqueta,Agasalhos,35,Minnesota,G,Branco,Verao,37,Sim,Standard,Sim,Sim,31,Em dinheiro,Mensalmente
108,28,Homem,Tenis,Calcados,67,Maryland,G,Oliva,Inverno,31,Sim,Next Day Air,Sim,Sim,46,Em dinheiro,Quinzenalmente
109,70,Homem,Socks,Roupas,79,Montana,G,Roxo,Primavera,34,Sim,Next Day Air,Sim,Sim,32,Transferencia bancaria,Quinzenalmente
110,58,Homem,T-shirt,Roupas,85,Alabama,M,Violeta,Primavera,26,Sim,Next Day Air,Sim,Sim,43,Em dinheiro,Quinzenalmente
111,56,Homem,Mochila,Acessorios,26,New York,M,Preto,Verao,40,Sim,Standard,Sim,Sim,26,Transferencia bancaria,Quinzenalmente
112,26,Homem,Cinto,Acessorios,75,Massachusetts,G,Roxo,Verao,50,Sim,Free Shipping,Sim,Sim,9,PayPal,Anualmente
113,37,Homem,Gloves,Acessorios,65,Florida,M,Vermelho,Primavera,43,Sim,Free Shipping,Sim,Sim,28,Cartao de Credito,Quinzenalmente
114,44,Homem,Chapeu,Acessorios,54,New Jersey,G,Marrom,Inverno,31,Sim,Next Day Air,Sim,Sim,20,Cartao de Debito,Trimestralmente
115,70,Homem,Casaco,Agasalhos,95,Massachusetts,P,Azul,Verao,37,Sim,Retirado na loja,Sim,Sim,9,PIX,Semanalmente
116,53,Homem,Saia,Roupas,94,Wyoming,M,Cinza,Primavera,38,Sim,Standard,Sim,Sim,48,Em dinheiro,A cada 3 meses
117,55,Homem,Sapatos,Calcados,86,Virginia,P,Azul,Primavera,34,Sim,Free Shipping,Sim,Sim,12,PayPal,Anualmente
118,50,Homem,Sandalhas,Calcados,32,South Dakota,G,Amarelo,Verao,46,Sim,Expresso,Sim,Sim,29,Transferencia bancaria,Quinzenalmente
119,50,Homem,Sueter,Roupas,45,Kentucky,G,Laranja,Outono,48,Sim,Frete em 2 dias,Sim,Sim,27,Transferencia bancaria,Quinzenalmente
120,38,Homem,Casaco,Agasalhos,76,Wyoming,M,Laranja,Outono,43,Sim,Expresso,Sim,Sim,44,Cartao de Debito,Anualmente
121,64,Homem,Chapeu,Acessorios,84,West Virginia,G,Vermelho,Verao,40,Sim,Expresso,Sim,Sim,32,PayPal,Anualmente
122,19,Homem,Shorts,Roupas,72,Virginia,M,Oliva,Inverno,42,Sim,Standard,Sim,Sim,11,Em dinheiro,Quinzenalmente
123,40,Homem,Mochila,Acessorios,40,Washington,G,Marrom,Primavera,48,Sim,Frete em 2 dias,Sim,Sim,44,Cartao de Credito,Quinzenalmente
124,57,Homem,Sueter,Roupas,89,Louisiana,G,Marrom,Outono,31,Sim,Free Shipping,Sim,Sim,46,Cartao de Debito,Semanalmente
125,44,Homem,Sueter,Roupas,86,Nevada,M,Cinza,Primavera,31,Sim,Next Day Air,Sim,Sim,50,PayPal,Anualmente
126,49,Homem,Shorts,Roupas,54,California,M,Indigo,Inverno,36,Sim,Next Day Air,Sim,Sim,45,Em dinheiro,A cada 3 meses
127,43,Homem,Shorts,Roupas,36,Mississippi,G,Rosa,Primavera,39,Sim,Retirado na loja,Sim,Sim,48,Transferencia bancaria,A cada 3 meses
128,24,Homem,Sueter,Roupas,89,Mississippi,M,Cinza,Inverno,48,Sim,Next Day Air,Sim,Sim,26,PIX,Semanalmente
129,20,Homem,Cachecol,Acessorios,32,California,M,Gold,Primavera,47,Sim,Standard,Sim,Sim,21,PIX,Quinzenalmente
130,24,Homem,Vestido,Roupas,67,Pennsylvania,XG,Oliva,Verao,42,Sim,Frete em 2 dias,Sim,Sim,49,Em dinheiro,Quinzenalmente
131,44,Homem,Cachecol,Acessorios,39,Kentucky,G,Violeta,Outono,37,Sim,Next Day Air,Sim,Sim,13,Cartao de Credito,Quinzenalmente
132,28,Homem,Saia,Roupas,29,Maine,G,Indigo,Verao,39,Sim,Standard,Sim,Sim,46,PayPal,Semanalmente
133,30,Homem,Mochila,Acessorios,58,New Mexico,M,Laranja,Outono,47,Sim,Frete em 2 dias,Sim,Sim,42,Transferencia bancaria,Semanalmente
134,52,Homem,Sueter,Roupas,65,Montana,M,Violeta,Inverno,25,Sim,Next Day Air,Sim,Sim,25,Transferencia bancaria,Anualmente
135,43,Homem,Chapeu,Acessorios,94,Texas,G,Cinza,Outono,49,Sim,Retirado na loja,Sim,Sim,25,Cartao de Credito,Mensalmente
136,43,Homem,Sandalhas,Calcados,81,Kansas,M,Roxo,Outono,41,Sim,Expresso,Sim,Sim,12,PayPal,Trimestralmente
137,39,Homem,Blusa,Roupas,86,South Carolina,M,Branco,Inverno,33,Sim,Free Shipping,Sim,Sim,4,Cartao de Credito,Trimestralmente
138,68,Homem,Tenis,Calcados,43,Colorado,M,Turquesa,Primavera,47,Sim,Free Shipping,Sim,Sim,38,Em dinheiro,Semanalmente
139,68,Homem,Saia,Roupas,29,Georgia,M,Marrom,Inverno,44,Sim,Retirado na loja,Sim,Sim,42,Em dinheiro,Semanalmente
140,49,Homem,Casaco,Agasalhos,95,Florida,M,Branco,Outono,38,Sim,Retirado na loja,Sim,Sim,30,Cartao de Debito,Anualmente
141,63,Homem,Shirt,Roupas,28,North Carolina,G,Amarelo,Outono,39,Sim,Frete em 2 dias,Sim,Sim,50,Transferencia bancaria,Semanalmente
142,56,Homem,Gloves,Acessorios,46,Virginia,M,Turquesa,Outono,49,Sim,Free Shipping,Sim,Sim,45,PayPal,Semanalmente
143,37,Homem,Jaqueta,Agasalhos,58,Nebraska,G,Violeta,Outono,31,Sim,Free Shipping,Sim,Sim,33,PayPal,Quinzenalmente
144,30,Homem,Casaco,Agasalhos,48,Missouri,M,Bege,Outono,27,Sim,Retirado na loja,Sim,Sim,25,Transferencia bancaria,Trimestralmente
145,19,Homem,Sapatos,Calcados,43,New Jersey,M,Prateado,Outono,32,Sim,Expresso,Sim,Sim,25,Cartao de Credito,Mensalmente
146,24,Homem,Joias,Acessorios,95,Missouri,M,Verde-azulado,Outono,45,Sim,Standard,Sim,Sim,44,PIX,Trimestralmente
147,52,Homem,Saia,Roupas,30,Colorado,P,Preto,Outono,40,Sim,Standard,Sim,Sim,21,Cartao de Debito,Quinzenalmente
148,63,Homem,Sapatos,Calcados,64,Idaho,M,Roxo,Verao,35,Sim,Frete em 2 dias,Sim,Sim,31,Transferencia bancaria,Quinzenalmente
149,37,Homem,Gloves,Acessorios,90,Wyoming,M,Cinza,Outono,26,Sim,Retirado na loja,Sim,Sim,47,PayPal,Anualmente
150,38,Homem,Calcas,Roupas,76,Delaware,M,Branco,Verao,32,Sim,Free Shipping,Sim,Sim,14,PIX,Mensalmente
151,35,Homem,Botas,Calcados,96,California,G,Ciano,Outono,49,Sim,Standard,Sim,Sim,17,Transferencia bancaria,A cada 3 meses
152,28,Homem,Oculos de sol,Acessorios,47,North Dakota,G,Turquesa,Outono,45,Sim,Next Day Air,Sim,Sim,3,Cartao de Debito,Anualmente
153,30,Homem,Shirt,Roupas,85,South Carolina,P,Marrom,Verao,43,Sim,Expresso,Sim,Sim,42,PayPal,Anualmente
154,69,Homem,Moletom,Roupas,55,North Carolina,M,Marrom,Inverno,32,Sim,Standard,Sim,Sim,22,Cartao de Debito,Anualmente
155,41,Homem,Vestido,Roupas,98,Oklahoma,M,Carvao,Outono,36,Sim,Next Day Air,Sim,Sim,21,Cartao de Debito,Trimestralmente
156,63,Homem,Socks,Roupas,77,Maine,P,Oliva,Primavera,43,Sim,Free Shipping,Sim,Sim,21,Em dinheiro,Trimestralmente
157,35,Homem,Shorts,Roupas,26,Missouri,M,Lavanda,Outono,40,Sim,Standard,Sim,Sim,40,PIX,Anualmente
158,36,Homem,Chapeu,Acessorios,68,Vermont,P,Amarelo,Outono,30,Sim,Next Day Air,Sim,Sim,1,Cartao de Debito,Quinzenalmente
159,25,Homem,Shirt,Roupas,73,Connecticut,XG,Verde-azulado,Outono,41,Sim,Standard,Sim,Sim,50,Transferencia bancaria,Mensalmente
160,58,Homem,Gloves,Acessorios,27,New Hampshire,M,Carvao,Outono,38,Sim,Retirado na loja,Sim,Sim,39,Cartao de Debito,A cada 3 meses
161,27,Homem,Gloves,Acessorios,23,Texas,M,Laranja,Verao,46,Sim,Free Shipping,Sim,Sim,34,Transferencia bancaria,Mensalmente
162,65,Homem,Mochila,Acessorios,49,North Dakota,M,Oliva,Outono,30,Sim,Expresso,Sim,Sim,29,PIX,Quinzenalmente
163,54,Homem,Oculos de sol,Acessorios,74,California,M,Turquesa,Verao,30,Sim,Retirado na loja,Sim,Sim,31,Cartao de Credito,Quinzenalmente
164,54,Homem,Saia,Roupas,67,Virginia,M,Roxo,Verao,34,Sim,Standard,Sim,Sim,8,PayPal,Semanalmente
165,59,Homem,Bolsa,Acessorios,65,Delaware,P,Roxo,Primavera,26,Sim,Free Shipping,Sim,Sim,5,Cartao de Debito,Quinzenalmente
166,42,Homem,Bolsa,Acessorios,60,Kentucky,P,Amarelo,Inverno,28,Sim,Retirado na loja,Sim,Sim,7,Cartao de Credito,Mensalmente
167,46,Homem,Tenis,Calcados,31,Delaware,XG,Indigo,Outono,40,Sim,Retirado na loja,Sim,Sim,30,Em dinheiro,Mensalmente
168,33,Homem,Gloves,Acessorios,27,Arkansas,M,Verde,Outono,40,Sim,Expresso,Sim,Sim,14,PIX,A cada 3 meses
169,34,Homem,Sapatos,Calcados,80,Louisiana,M,Magenta,Verao,30,Sim,Expresso,Sim,Sim,5,Transferencia bancaria,Quinzenalmente
170,27,Homem,Jaqueta,Agasalhos,30,Nevada,P,Gold,Verao,33,Sim,Standard,Sim,Sim,3,Cartao de Credito,A cada 3 meses
171,52,Homem,Shirt,Roupas,25,Wyoming,M,Marrom,Outono,26,Sim,Retirado na loja,Sim,Sim,46,PIX,Quinzenalmente
172,29,Homem,Shorts,Roupas,35,Virginia,M,Azul,Verao,36,Sim,Retirado na loja,Sim,Sim,4,Cartao de Debito,Semanalmente
173,54,Homem,Joias,Acessorios,67,Nebraska,M,Violeta,Verao,39,Sim,Next Day Air,Sim,Sim,42,Transferencia bancaria,Quinzenalmente
174,25,Homem,Chapeu,Acessorios,46,Hawaii,M,Turquesa,Outono,34,Sim,Standard,Sim,Sim,30,PayPal,Anualmente
175,41,Homem,Sapatos,Calcados,35,Vermont,G,Marrom,Inverno,35,Sim,Expresso,Sim,Sim,37,PIX,Anualmente
176,53,Homem,Casaco,Agasalhos,86,Oklahoma,G,Violeta,Outono,28,Sim,Next Day Air,Sim,Sim,2,Cartao de Debito,Anualmente
177,53,Homem,Mochila,Acessorios,81,New Hampshire,G,Preto,Primavera,27,Sim,Next Day Air,Sim,Sim,30,Transferencia bancaria,Trimestralmente
178,21,Homem,Moletom,Roupas,42,Kansas,G,Magenta,Outono,37,Sim,Next Day Air,Sim,Sim,47,Cartao de Debito,Mensalmente
179,61,Homem,Saia,Roupas,43,Idaho,G,Lavanda,Outono,43,Sim,Frete em 2 dias,Sim,Sim,21,Cartao de Debito,Trimestralmente
180,64,Homem,Botas,Calcados,31,Illinois,M,Violeta,Outono,49,Sim,Retirado na loja,Sim,Sim,9,Cartao de Debito,Quinzenalmente
